在计算机辅助设计与制造的2.5轴减材制造约束下的基于边界的生成式设计,K.D.D.威利斯,2021,2021年,,,
双光球交互笔的刚体位姿确定方法,洪智慧,2021,2021年,,,
一种基于人体工学的一体式可站立计算机桌椅装置,周昕,2021,2021年,,,
模板确定方法,张翔,2021,2021年,,,
信息处理方法,朱金星,2021,2021年,,,
一种内部部件可滑动安装的计算机机箱,崔泽旭,2021,2021年,,,
计算机主板固定装置,黄煜坤,2021,2021年,,,
Web挖掘研究,韩家炜,2515,2001年,,,
大学英语课程教学要求(试行),教育部高等教育司“大学英语教学基本要求”项目组,11,2004年,,,
大数据安全与隐私保护,冯登国,786,2014年,,,
"基于RoughSet理论的""数据浓缩""",王珏,1208,1998年,,,
MVC模式研究的综述,任中方,1681,2004年,,,
核聚类算法,张莉,1188,2002年,,,
织女星网格的体系结构研究,徐志伟,1215,2002年,,,
Deep Web数据集成研究综述,刘伟,940,2007年,,,
一种基于非均匀分簇的无线传感器网络路由协议,李成法,861,2007年,,,
向量空间法中单词权重函数的分析和构造,陆玉昌,980,2002年,,,
自动特征识别技术综述,高曙明,1050,1998年,,,
WfMS:工作流管理系统,史美林,1094,1999年,,,
数字图像变换及信息隐藏与伪装技术,丁玮,979,1998年,,,
基于模拟退火的粒子群优化算法,高鹰,1116,2004年,,,
基于向量空间模型的文本自动分类系统的研究与实现,庞剑锋,1692,2001年,,,
基于图形处理器(GPU)的通用计算,吴恩华,1371,2004年,,,
肤色检测技术综述,陈锻生,766,2006年,,,
供应链物流能力的研究现状及发展趋势,马士华,855,2005年,,,
数字版权保护技术研究综述,俞银燕,955,2005年,,,
遗传算法研究综述,吉根林,1740,2004年,,,
基于Web Service的一种分布式体系结构,程炜,1094,2002年,,,
人机交互的进展及面临的挑战,董士海,1188,2004年,,,
基于GIS的城市道路网最短路径算法探讨,严寒冰,931,2000年,,,
适应用户兴趣变化的协同过滤推荐算法,邢春晓,882,2007年,,,
统一建模语言UML述评,邵维忠,885,1999年,,,
云计算研究进展综述,张建勋,1307,2010年,,,
基于支持向量机与无监督聚类相结合的中文网页分类器,李晓黎,870,2001年,,,
混沌粒子群优化算法,高鹰,765,2004年,,,
Web文本挖掘技术研究,王继成,928,2000年,,,
虚拟植物生长的双尺度自动机模型,赵星,762,2001年,,,
隶属云和隶属云发生器,李德毅,1707,1995年,,,
基于粒子群算法求解多目标优化问题,张利彪,857,2004年,,,
生产调度理论和方法研究综述,徐俊刚,1101,2004年,,,
再论云制造,李伯虎,829,2011年,,,
基于关系结构的轻量级工作流引擎,何清法,1108,2001年,,,
信息抽取研究综述,李保利,1860,2003年,,,
一种优化的协同过滤推荐算法,周军锋,794,2004年,,,
J2EE平台上MVC设计模式的研究与实现,陆荣幸,1999,2003年,,,
立体视觉匹配技术,徐奕,1042,2003年,,,
XML在异构数据集成中的应用研究,李军怀,961,2002年,,,
Globus Toolkit Version 4 : Software for Service-Oriented Systems,FOSTER,I.,3241,2005年,,
基于.NET的Web应用三层结构设计技术,胡迎松,1494,2003年,,,
Rough集及Rough推理,刘清著,2247,2001年,,,
多目标优化问题的研究概述,肖晓伟,859,2011年,,,
自适应变异的粒子群优化算法,阳春华,805,2008年,,,
遗传算法研究综述,葛继科,1213,2008年,,,
云计算环境下基于改进遗传算法的任务调度算法,李建锋,860,2011年,,,
有限元网格生成方法研究的新进展,关振群,804,2003年,,,
图像匹配研究进展,王红梅,1128,2004年,,,
大批量定制及其模型的研究,祁国宁,918,2000年,,,
运动目标跟踪算法研究综述,张娟,844,2009年,,,
《面向对象的系统分析》(第2版)的姊妹篇——面向对象的系统设计(第2版),邵维忠,796,2008年,,,
无线传感器网络Range-Free自身定位机制与算法,史龙,967,2004年,,,
访问控制模型研究综述,沈海波,887,2005年,,,
人脸识别理论研究进展,周激流,990,1999年,,,
一种增量贝叶斯分类模型,宫秀军,373,2002年,,,
网格计算技术,张玉强,1801,2004年,,,
MVC模型2及软件框架Struts的研究,何成万,1057,2002年,,,
电子商务个性化推荐研究,余力,801,2004年,,,
入侵检测技术研究综述,杨智君,870,2006年,,,
基于Arnold变换的数字图像置乱技术,丁玮,1191,2001年,,,
J2EE应用模型中MVC软件体系结构的研究与应用,袁梅冷,846,2003年,,,
云计算研究现状综述,李乔,1126,2011年,,,
基于Spring的MVC框架设计与实现,张宇,1017,2010年,,,
Web Services技术综述——一种面向服务的分布式计算模式,杨涛,929,2004年,,,
数学形态学在图像处理中的应用,王树文,1352,2004年,,,
基于多项式拟合算法的EMD端点问题的处理,刘慧婷,928,2004年,,,
Web挖掘研究,陈新中,874,2002年,,,
三角网格的参数化,彭群生,247,2004年,,,
人脸识别技术综述,何东风,889,2003年,,,
粒子群优化算法综述,王杰文,998,2009年,,,
基于ArcSDE的空间数据库技术的应用研究,熊丽华,797,2004年,,,
聚类算法研究,刘凤芹,1318,2012年,,,
基于统计背景模型的运动目标检测方法,林洪文,856,2003年,,,
GPRS无线网络在远程数据采集中的应用,赵亮,756,2005年,,,
虚拟企业合作伙伴评价体系及优化决策,郑文军,764,2000年,,,
清华大学综合教务系统在教务管理中的应用,宣华,875,2002年,,,
基于SOA体系结构的软件开发方法研究,魏东,761,2005年,,,
Android系统架构及应用程序开发研究,曾健平,859,2011年,,,
SOA综述,凌晓东,799,2007年,,,
基于FPGA的嵌入式系统设计,林华,1430,2008年,,,
基于CC2530及ZigBee协议栈设计无线网络传感器节点,章伟聪,831,2011年,,,
人脸自动识别方法综述,李刚,819,2003年,,,
基于工作流技术的OA系统模型,叶立新,868,2000年,,,
Android的架构与应用开发研究,姚昱旻,986,2008年,,,
运动目标检测算法的探讨,万缨,1002,2006年,,,
基于MVC模式的应用软件开发框架研究,许鑫,351,2005年,,,
虚拟现实与系统仿真,韦有双,783,1999年,,,
无线传感器网络研究综述,陈丹,1047,2004年,,,
基于J2EE的MVC设计模式的分析与思考,田娟,776,2010年,,,
变精度粗糙集的属性核和最小属性约简算法,陈昊,188,2012年,,,
基于Android的移动终端应用程序开发与研究,公磊,824,2008年,,,
Wireshark环境下的网络协议解析与验证方法,罗青林,177,2011年,,,
MATLAB在数字信号处理中的应用,薛年喜,1084,2008年,,,
Reduction algorithms based on discernibility matrix: The ordered attributes method,J Wang,1219,2001年,,,
图像边缘检测方法研究,魏伟波,794,2006年,,,
一个面向服务的支持动态演化的软件模型,李长云,174,2006年,,,
Dynamic customer profile management,MF Guheen,1068,2003年,,,
用户多兴趣下的个性化推荐算法研究,余力,342,2004年,,,
Visual C++串口通信技术与工程实践,李现勇,987,2002年,,,
基于路段速度的信号交叉口运行评价方法,王路曼,0,2023年,,,
思想政治教育的现代方式——论网络思想政治教育建设,刘梅,879,2000年,,,
